Type,Index,Title_EN,Title_SR,Subtitle_EN,Subtitle_SR,Target_EN,Target_SR,Price,PricePeriod_EN,PricePeriod_SR,Features_EN,Features_SR,Popular,Badge_EN,Badge_SR,CTA_EN,CTA_SR
One-Time,01,Core Identity & Web,Core Identity & Web,Showcase & Brand Kit,Showcase i Identitet,Brands seeking to establish visual authority logo assets and a fast custom landing presence.,Brendovi koji žele da postave vizuelni autoritet logotip i brzu prilagođenu prezentaciju.,800€ – 1.200€,One-time investment,Jednokratna investicija,Full Brand Identity (Logo design color palette custom type selection);Bespoke Next.js editorial website (up to 5 pages);Mobile-first responsive layouts & GPU acceleration;Fundamental SEO architecture & metadata setup;WhatsApp and direct email contact integration;Production-ready build optimized for quick rendering,Kompletan vizuelni identitet (Dizajn logotipa paleta boja selekcija fontova);Unikatan Next.js sajt po meri (do 5 stranica);Prilagođeno mobilnim uređajima i GPU ubrzanje animacija;Osnovna SEO struktura i metapodaci;Integracija WhatsApp-a i direktnih kontakt formi;Proizvodni kod optimizovan za brzo učitavanje,FALSE,,,Deploy Core Identity,Izaberi Core Identity
One-Time,02,Motion & E-commerce,Motion & E-commerce,Shopify & Web Apps,Shopify i Aplikacije,Startups and online stores seeking custom design visual content and seamless checkouts.,Startapi i online prodavnice koji žele unikatni dizajn kreiranje vizuelnog sadržaja i stabilno plaćanje.,1.500€ – 2.500€,One-time investment,Jednokratna investicija,Everything in Core Identity & Web;Custom E-commerce setup (Shopify / WooCommerce custom theme);Visual Content direction & custom media asset optimization;Fluid Framer Motion page transitions & micro-interactions;Checkout funnel optimization & automated transactional mail;Up to 10 custom editorial layouts built for conversions,Sve obuhvaćeno u Core Identity & Web paketu;Izrada E-commerce prodavnica ( Shopify ili WooCommerce kodirana tema );Art direkcija i optimizacija vizuelnog sadržaja za prodavnicu;Fluidni prelazi između stranica i Framer Motion mikro-interakcije;Optimizacija toka plaćanja i automatske poruke kupcima;Do 10 prilagođenih stranica strukturisanih za prodaju,TRUE,Recommended,Preporučeno,Deploy Motion Store,Izaberi Motion Store
One-Time,03,Cinematic Enterprise,Cinematic Enterprise,Custom Apps & WebGL,WebGL i Mobilne Aplikacije,High-end portfolios and digital systems requiring custom mobile apps and WebGL visuals.,Klijenti koji traže unikatne mobilne aplikacije i napredne WebGL 3D sisteme.,3.500€+,Custom quote,Upit za ponudu,Custom iOS & Android mobile application development (Flutter / React Native);Advanced WebGL / HTML5 Canvas 3D elements & cinematic shaders;Headless CMS & Headless E-commerce setup (Sanity / Shopify Storefront);Unlimited custom pages and full design language components;Direct integration with central CRM and custom API pipelines;Dedicated creative director alignment & full testing cycles,Razvoj mobilnih aplikacija za iOS i Android (Flutter / React Native);Napredne WebGL / HTML5 Canvas 3D animacije i šejderi;Headless CMS i headless e-commerce (Sanity / Shopify Storefront);Neograničen broj stranica i kompletan sistem komponenti;Povezivanje sa CRM bazama i eksternim API tokovima;Direktna saradnja sa kreativnim direktorom i puni QA testovi,FALSE,,,Request Cinematic Concept,Zatraži Cinematic Koncept
Retainer,01,Essential Care,Essential Care,Uptime & Maintenance,Bezbednost i Održavanje,For businesses wanting peace of mind reliable hosting and basic adjustments.,Za preduzeća koja žele uključen hosting SSL sertifikat i osnovne ispravke koda.,80€,month,mesec,Premium hosting & domain registration included;Enterprise SSL security certificate & firewalls;Daily automated backups (30-day retention);Active server uptime monitoring & malware protection;Up to 2 hours of copy/image updates per month;Standard technical support response (24h),Premium hosting i domen uključeni u cenu;Uključen SSL sertifikat i zaštita od pretnji;Automatske rezervne kopije svakog dana (čuvanje 30 dana);Aktivno praćenje dostupnosti servera i zaštita od napada;Do 2 sata mesečno za ažuriranje tekstova ili zamenu slika;Tehnička podrška putem emaila sa odgovorom u roku od 24h,FALSE,,,Select Essential Care,Izaberi Essential Care
Retainer,02,Branding & SEO Boost,Branding & SEO Boost,SEO & Brand Assets,Brend i Pozicioniranje,For local leaders looking to rank on search engines and continuously update brand materials.,Za klijente koji žele prva mesta na pretrazi i kontinuirano osvežavanje brend materijala.,180€,month,mesec,Everything in Essential Care;Local SEO optimization & Google Maps ranking audits;Visual Content support & Brand asset updates (newsletters banners mockups);Competitor keyword tracking & local industry analysis;Monthly Google Analytics & Search Console growth reports;Up to 6 hours of custom design & programming improvements / mo,Sve obuhvaćeno u Essential Care paketu;Lokalna SEO optimizacija i pozicioniranje na Google mapama;Podrška za vizuelni sadržaj i izrada brend grafika (newsletter-i baneri);Praćenje ključnih reči konkurenata i analiza lokalnog tržišta;Mesečni Google Analytics i Search Console izveštaji o rastu;Do 6 sati mesečno za programerska i dizajnerska unapređenja,TRUE,Most Popular,Najpopularniji,Select Branding & SEO,Izaberi Branding & SEO
Retainer,03,E-commerce & App Ops,E-commerce & App Ops,AI Ops & Custom Apps,AI i Podrška Aplikacijama,For modern organizations wanting to automate checkout operations and maintain mobile apps.,Za organizacije koje žele automatizaciju prodaje i održavanje mobilnih aplikacija.,350€,month,mesec,Everything in Branding & SEO Boost;Continuous E-commerce checkout audits & funnel optimizations;Custom AI Agent workflow integrations for leads/tasks;WhatsApp / Viber booking & customer notification triggers;Direct syncing with central CRM database or spreadsheets;Up to 12 hours of custom software & mobile app updates / mo,Sve obuhvaćeno u Branding & SEO Boost paketu;Redovne provere korpe i optimizacije procesa kupovine;Integracija prilagođenih AI agenata za pomoć pri radu;Sistemi automatske rezervacije i obaveštenja (Viber / WhatsApp);Direktna sinhronizacija sa centralnom bazom klijenta;Do 12 sati mesečno za izmene na softveru ili mobilnim aplikacijama,FALSE,,,Select App & E-commerce Ops,Izaberi E-commerce & App Ops
Launch,01,Launch Core,Launch Core,0€ Upfront,0€ Početni Trošak,Custom Next.js design & build (0€ creation). Hosting SSL security checks & daily backups.,Izrada Next.js sajta (0€ trošak izrade). Uključen hosting SSL backup i tehnička podrška.,55€,month,mesec,Custom Next.js design & build (0€ creation);Hosting SSL security checks & daily backups;Rolling support & maintenance (12m min contract),Izrada Next.js sajta (0€ trošak izrade);Uključen hosting SSL backup i tehnička podrška;Jednostavno održavanje (ugovor min. 12 meseci),FALSE,,,Apply for Launch Core,Apliciraj za Launch Core
Launch,02,Launch & Growth,Launch & Growth,0€ Upfront,0€ Početni Trošak,Custom Next.js design & build (0€ creation). Local SEO rankings & monthly traffic analytics.,Izrada Next.js sajta (0€ trošak izrade). Lokalni SEO Google Maps i analize konkurencije.,95€,month,mesec,Custom Next.js design & build (0€ creation);Local SEO rankings & monthly traffic analytics;Up to 5h design/code updates (12m min contract),Izrada Next.js sajta (0€ trošak izrade);Lokalni SEO Google Maps i analize konkurencije;Do 5 sati izmena mesečno (ugovor min. 12 meseci),TRUE,,,Apply for Launch & Growth,Apliciraj za Launch & Growth
A-La-Carte,01,Brand Identity Kit,Brend Identitet Paket,Visual Identity Only,Samo Identitet Brenda,For companies needing logo guidelines colors and key assets without web development.,Za kompanije kojima su potrebni logotip pravila boja i grafički resursi bez izrade sajta.,400€,One-time investment,Jednokratna investicija,Bespoke logo design variations;Custom color palette & typography pairings;Comprehensive brand guidelines document;Social media templates (banners & post grids);Business card & stationery templates;Full print & digital high-res exports,Dizajn unikatnog logotipa i varijacija;Prilagođena paleta boja i selekcija fontova;Knjiga grafičkih standarda (Brandbook);Šabloni za društvene mreže (baneri i objave);Dizajn vizit karti i memorandum dokumenata;Izvoz fajlova visoke rezolucije za štampu i digital,FALSE,,,Order Brand Identity,Poruči Identitet Brenda
A-La-Carte,02,Visual Content Shoot,Kreiranje Vizuelnog Sadržaja,Creative Photography,Kreativna Fotografija,For brands needing high-end product lifestyle and campaign assets.,Za brendove kojima su potrebne vrhunske slike proizvoda lifestyle i reklamni resursi.,450€,One-time investment,Jednokratna investicija,Creative direction & campaign storyboard;High-res studio product photography (up to 15 assets);Lifestyle & campaign setting shoots;Advanced photo editing & lighting corrections;Optimized digital formats for web & Instagram,Kreativna direkcija i planiranje kampanje;Fotografisanje proizvoda u studiju (do 15 slika);Lifestyle i terensko slikanje u odgovarajućem ambijentu;Napredna obrada slika i korekcije svetla;Optimizovani formati slika za sajt i Instagram,FALSE,,,Order Visual Content,Poruči Vizuelni Sadržaj
